CodiceComune,Gemeindebezeichnung,DenominazioneComune,PopolazioneTotale,Geburtenbilanz / Saldo naturale,Binnenwanderungsbilanz / Saldo migratorio  interno ,Wanderungsbilanz mit dem Ausland / Saldo migratorio estero ,Statistische Berichtigung* / Aggiustamento statistico*,Saldo insgesamt / Saldo totale,Popolazione censita - Totale
21096,Terenten,Terento,1778,19,-4,7,0,22,1800
21097,Terlan,Terlano,4828,-6,54,12,16,76,4904
21098,Tramin an der Weinstraße,Termeno sulla strada del vino,3359,-18,9,2,28,21,3380
21099,Tisens,Tesimo,1981,-1,26,5,4,34,2015
21100,Tiers,Tires,993,5,13,6,8,32,1025
21101,Tirol,Tirolo,2465,-6,4,7,27,32,2497
21102,Truden im Naturpark,Trodena nel parco naturale,1037,4,12,-3,0,13,1050
21103,Taufers im Münstertal,Tubre,952,8,4,-5,-5,2,954
21104,Ulten,Ultimo,2886,5,16,5,1,27,2913
21105,Pfatten,Vadena,1096,7,-9,7,10,15,1111
21106,Olang,Valdaora,3182,0,14,14,28,56,3238
21107,Pfitsch,Val di Vizze,3101,-4,5,-8,-3,-10,3091
21108,Ahrntal,Valle Aurina,5950,-10,4,18,15,27,5977
21109,Gsies,Valle di Casies,2319,10,-9,-6,8,3,2322
21110,Vintl,Vandoies,3313,18,19,4,-5,36,3349
21111,Vahrn,Varna,4994,12,41,-2,2,53,5047
21112,Vöran,Verano,991,3,6,-4,0,5,996
21113,Niederdorf,Villabassa,1614,-12,31,-7,-4,8,1622
21114,Villanders,Villandro,1904,-2,-37,17,10,-12,1892
21115,Sterzing,Vipiteno,6929,3,3,22,3,31,6960
21116,Feldthurns,Velturno,3037,12,25,7,2,46,3083
21117,Wengen,La Valle,1398,13,6,2,1,22,1420
21118,U.L.Frau i.W.-St.Felix,Senale-San Felice,774,8,1,6,-2,13,787
